0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
15   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/vagrant/GeoTest/jetty/contexts at interval 0
19   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/vagrant/GeoTest/jetty/contexts/solr.xml
56   [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/vagrant/GeoTest/jetty/webapps/solr.war!/ to /home/vagrant/GeoTest/jetty/solr-webapp/webapp
1156 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1194 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1204 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1204 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/vagrant/GeoTest/jetty/solr
1204 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/vagrant/GeoTest/jetty/solr/'
1205 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/GeoTest/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1206 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/GeoTest/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1206 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/GeoTest/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1209 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/GeoTest/jetty/solr/lib/contrib/' to classloader
1311 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/vagrant/GeoTest/jetty/solr/solr.xml
1393 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/vagrant/GeoTest/jetty/solr
1398 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 10460766
1399 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/vagrant/GeoTest/jetty/solr/]
1399 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/vagrant/GeoTest/jetty/solr/lib
1399 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/GeoTest/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1399 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/GeoTest/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1399 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/GeoTest/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1399 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/vagrant/GeoTest/jetty/solr/lib/contrib/' to classloader
1413 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
1414 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
1416 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
1416 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
1417 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
1417 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
1418 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
1418 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
1418 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
1566 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
1568 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
1568 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
1569 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
1619 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /home/vagrant/GeoTest/jetty/solr
1625 [main] INFO  org.apache.solr.core.CoresLocator  – Found core blacklight-core in /home/vagrant/GeoTest/jetty/solr/blacklight-core/
1627 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
1629 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/vagrant/GeoTest/jetty/solr/blacklight-core/'
1677 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: 4.7.0
1719 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
1723 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from /home/vagrant/GeoTest/jetty/solr/blacklight-core/conf/schema.xml
1737 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – [blacklight-core] Schema name=geoblacklight-schema
1836 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – unique key field: uuid
1898 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'blacklight-core' using configuration from instancedir /home/vagrant/GeoTest/jetty/solr/blacklight-core/
1908 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – solr.NRTCachingDirectoryFactory
1912 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Opening new SolrCore at /home/vagrant/GeoTest/jetty/solr/blacklight-core/, dataDir=/home/vagrant/GeoTest/jetty/solr/blacklight-core/data/
1912 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: blacklight-core
1915 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=stanford}, {q=polygon}]}
1916 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
1925 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/vagrant/GeoTest/jetty/solr/blacklight-core/data
1926 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/home/vagrant/GeoTest/jetty/solr/blacklight-core/data/index/
1927 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrCore  – [blacklight-core] Solr index directory '/home/vagrant/GeoTest/jetty/solr/blacklight-core/data/index' doesn't exist. Creating new index...
1933 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/vagrant/GeoTest/jetty/solr/blacklight-core/data/index
1956 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/home/vagrant/GeoTest/jetty/solr/blacklight-core/data/index lockFactory=NativeFSLockFactory@/home/vagrant/GeoTest/jetty/solr/blacklight-core/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
1957 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
1992 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
1995 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: org.apache.solr.handler.UpdateRequestHandler
1995 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: org.apache.solr.handler.UpdateRequestHandler
1995 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/csv: org.apache.solr.handler.UpdateRequestHandler
1995 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
1996 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /get: solr.RealTimeGetHandler
1997 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.ReplicationHandler
1997 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
1998 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /search: solr.SearchHandler
1998 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /select: solr.SearchHandler
1999 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.RequestHandlers  – Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
1999 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
2000 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: solr.admin.AdminHandlers
2001 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
2001 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
2001 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
2010 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2011 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2013 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2014 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2014 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
